Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Individuals using the Internet (% of population) [IT.NET.USER.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Domestic credit to private sector by banks (% of GDP) [FD.AST.PRVT.GD.ZS]
2001,YR2001,Italy,ITA,1172041488805.87,2.00643329837733,2.78516542713554,21.3054469235642,80.1268292682927,27.2221,100,25.5610801918444,59.9103207179669
2001,YR2001,Japan,JPN,4374711694090.87,0.386103426142029,-0.740055504162812,27.7549548681953,81.4163414634146,38.5321,100,10.0767999632844,105.684092602349
2001,YR2001,"Korea, Rep.",KOR,547656279894.587,4.85239957151281,4.06657587897793,31.6029375635501,76.4121951219512,56.6,100,31.7877410482541,103.229222655668
2001,YR2001,Luxembourg,LUX,21387533703.2327,3.07435550952719,2.66382110579102,22.2118034133241,77.8243902439025,36.1634,100,146.200905707728,78.4548205201812
2001,YR2001,Malaysia,MYS,92783947368.4211,0.517675319192861,1.41678473206098,24.398219973396,73.08,26.696,98.6,110.402491356547,127.232205831884
2001,YR2001,Mexico,MEX,796064590549.136,-0.450845253215945,6.36773806235037,20.2738215598554,72.912,7.03802,97.1,21.5412102050357,11.0377003130593
2001,YR2001,Netherlands,NLD,432536219668.898,2.32357570819386,4.15584127195613,22.6044175168395,78.190243902439,49.3731,100,63.3725444723061,110.22236670732
2001,YR2001,New Zealand,NZL,53872425916.6248,3.41099312247906,2.62581630392902,22.9520169059606,78.6926829268293,53.241,100,35.4310398408851,106.702514140096
2001,YR2001,Norway,NOR,174239354070.977,2.06713043546189,3.00419703998237,20.55022378133,78.7853658536585,64,100,44.9851535831821,89.506404511881
2001,YR2001,Portugal,PRT,121604107164.997,1.94367212411221,4.36990330551794,28.1574917811274,76.8146341463415,18.0871,100,27.4373261135265,114.86502644975
2001,YR2001,Qatar,QAT,17538461538.4615,3.89818666233907,..,29.1196741854637,75.486,6.17027,100,65.8928571428571,34.860546679198
2001,YR2001,Russian Federation,RUS,306602070620.5,5.10005122572568,21.4770072117158,21.9498173349418,65.3834146341463,2.94437,97.9,36.8934935960337,16.823236290639
2001,YR2001,Saudi Arabia,SAU,184137600000,0.344593196175438,-1.12094700105411,19.6231513824444,72.951,4.68105,100,39.633694222871,27.090480162661
2001,YR2001,Singapore,SGP,89793790669.6515,-1.07086275100448,..,27.6094317950146,78.2512195121951,41.6704,100,182.894180709771,115.018373303764
2001,YR2001,Slovenia,SVN,20668868706.8115,2.82868479430465,8.37966587492204,26.8861602046924,75.7585365853659,30.1759,100,52.2659847153184,..
2001,YR2001,South Africa,ZAF,135429905922.526,2.70000000019104,5.70189483049609,14.5737803066035,57.161,6.34662,70.2,26.3566606345688,66.7849346783805
2001,YR2001,Spain,ESP,627798682378.741,3.91908880808811,3.58983413338112,26.4824711323646,79.3682926829268,18.1487,100,27.8768485415674,94.9394409772958
2001,YR2001,Switzerland,CHE,286582672434.226,1.57566198688916,0.989020329832542,27.695136995311,80.1804878048781,55.1,100,50.2026964781874,136.660989970166
2001,YR2001,Sweden,SWE,242499249692.616,1.36076692513873,2.40595834145438,22.3035860362448,79.7951219512195,51.7657,100,42.8987315948306,89.5332045534823
2001,YR2001,Thailand,THA,120296476180.402,3.44424900968372,..,23.1124372100211,71.52,5.55633,90.4,63.250689756653,93.0786561125059
2001,YR2001,Turkiye,TUR,201753123806.695,-5.75000655464257,54.4001887619076,18.0254338636225,72.271,5.18948,99.9,27.1819418753369,14.9142199303558
2001,YR2001,United Arab Emirates,ARE,103311640571.818,1.39908503706675,..,22.5025971503274,77.621,26.2718,100,49.1592253276122,34.4082422274467
2001,YR2001,United States,USA,10581929000000,0.95553834188668,2.82617111885407,22.17672222144,76.8365853658537,49.0808,100,9.70344820873397,50.1525623897269
2001,YR2001,United Kingdom,GBR,1649827263567.01,2.57278043964686,1.53234960272418,18.2973209962177,77.9926829268293,33.4811,100,25.5471650372775,119.336116600575
2001,YR2001,Viet Nam,VNM,32685198808.5549,6.19289331233377,..,31.1727734549497,72.984,1.26565,88.9,55.0619332820827,39.2903936255311
2002,YR2002,Germany,DEU,2102350798305.89,-0.228310223930706,1.42080615551526,20.151752302821,78.2292682926829,48.82,100,31.1904504893495,110.165745012493
2002,YR2002,India,IND,514939140318.756,3.80397532112175,4.29715203929563,30.2513001207186,63.649,1.53788,62.3,14.2643839243147,32.3064890735537
2002,YR2002,Australia,AUS,395788696012.059,3.97958568067362,2.98157453936348,24.4074263067027,79.9365853658537,..,100,20.7266612553969,91.2177033536445
2002,YR2002,Austria,AUT,212837224022.813,1.48436877605324,1.81035787764127,23.7779667439374,78.6780487804878,36.56,100,45.6510533943756,88.718096960876
2002,YR2002,Belgium,BEL,258383599375.177,1.70689430349601,1.64521436175358,20.7474019774138,78.0756097560976,46.33,100,70.8312976956765,64.1321925711394
2002,YR2002,Brazil,BRA,509795273806.715,3.05346185909312,8.45016437708332,17.4490794834956,70.396,9.14943,96.7,14.2305902713775,29.6451419418143
2002,YR2002,China,CHN,1489821682050.54,9.24339326638321,-0.731970902350249,36.0687816828708,73.034,4.5957,97.2,22.3518233715808,115.811734309503
2002,YR2002,Denmark,DNK,178788209558.311,0.456530018779986,2.42443661219696,21.256815503883,76.8951219512195,64.25,100,45.6653553506862,141.46569709683
2002,YR2002,Indonesia,IDN,195660611165.183,4.49947539085764,11.9001200338414,21.4040702075173,66.954,2.13414,87.6,32.6876208878375,19.3419290150241
2002,YR2002,Ireland,IRL,128596035288.401,5.89936644855928,4.62820512820515,24.0825971908065,77.6341463414634,25.85,100,90.449477107344,75.4068879464266
2002,YR2002,Israel,ISR,125332331883.997,-0.134072634658438,5.8023458946843,24.1887720819014,79.4512195121951,17.7646,100,30.8726038348007,77.1553332439362
2002,YR2002,Italy,ITA,1281746271196.04,0.26992966378873,2.46532319171166,22.0519500121835,80.2292682926829,28.04,100,24.3126948188163,61.6384793639264
2002,YR2002,Japan,JPN,4182846045873.61,0.0419624992862282,-0.923494026942286,25.8988591910406,81.6907317073171,46.5942,100,10.8554456072287,98.7384807047455
2002,YR2002,"Korea, Rep.",KOR,627246933729.618,7.72514267547173,2.76226210296598,31.0928327590252,76.7658536585366,59.4,100,29.7727544096379,112.651109097992
2002,YR2002,Luxembourg,LUX,23649833332.1655,3.22541782301025,2.07408613571644,20.4278629315455,77.9658536585366,39.84,100,136.361720123078,67.4938080199567
2002,YR2002,Malaysia,MYS,100845526315.789,5.39098830692797,1.80787246281536,24.7773431485884,73.469,32.3382,98.6,108.305302795051,121.351916819106
2002,YR2002,Mexico,MEX,810666116401.915,-0.236588001922641,5.03072733151295,20.4084256272915,73.106,11.9,97.9,21.8517619236376,12.560417421143
2002,YR2002,Netherlands,NLD,475529972122.746,0.245785659129112,3.28753104712771,20.9657566797441,78.2926829268293,61.29,100,60.1048715353519,108.80306461908
2002,YR2002,New Zealand,NZL,66627729311.4495,4.71347767117496,2.67709257711606,22.7465398243836,78.8463414634146,59.0808,100,32.8470717038637,101.596319009328
2002,YR2002,Norway,NOR,195914852576.467,1.37755702173065,1.28672528415183,20.3302123524354,78.9878048780488,72.84,100,40.4688823606507,95.5596578454427
2002,YR2002,Portugal,PRT,134795565549.419,0.770924777292066,3.60034658290913,25.9043294973227,77.0658536585366,19.37,100,27.0733622325977,118.917524058891
2002,YR2002,Qatar,QAT,19363736263.7363,7.18215168021513,..,32.6471255887861,75.766,10.2261,100,60.3427728278758,28.6488805970149
2002,YR2002,Russian Federation,RUS,345470494417.863,4.69999190914258,15.7887307914463,20.0295461890033,65.1287804878049,4.12827,97.9,35.2125940630626,17.9603896403675
